ID,CATEGORY,Note,en-EN,it-IT,fr-FR,de-DE,es-ES,ru-RU,zh-CN,hu-HU,pt-PT,jp-JP
#BTN_OK,HUD,,OK,OK,OK,Okay,Aceptar,ОК,好的,RENDBEN,,
#BTN_CONFIRM,HUD,,CONFIRM,CONFERMA,CONFIRMER,BESTÄTIGEN,CONFIRMAR,ПОДТВЕРДИТЬ,确认,MEGERŐSÍT,CONFIRMAR,CONFIRM
#BTN_CANCEL,HUD,,CANCEL,ANNULLA,ANNULER,ABBRECHEN,CANCELAR,ОТМЕНА,取消,MÉGSE,CANCELAR,キャンセル
#BTN_BACK,HUD,,BACK,INDIETRO,RETOUR,ZURÜCK,ATRÁS,НАЗАД,返回,VISSZA,VOLTAR,バック
#BTN_START,HUD,,START,INIZIA,COMMENCER,START,EMPEZAR,НАЧАТЬ,开始,INDÍTÁS,COMEÇAR,開始
#BTN_SELECT_WEAPON,HUD,,SELECT WEAPON,SELEZIONA ARMA,CHOISIR UNE ARME,WAFFE AUSWÄHLEN,ELEGIR ARMA,ВЫБРАТЬ ОРУЖИЕ,选择武器,FEGYVERVÁLASZTÁS,ESCOLHER ARMA,武器を選択します
#BTN_SWITCH_WEAPON,HUD,,SWITCH WEAPON,CAMBIA ARMA,CHANGER D'ARME,WAFFE WECHSELN,CAMBIAR ARMA,СМЕНИТЬ ОРУЖИЕ,更换武器,FEGYVERVÁLTÁS,TROCAR DE ARMA,スイッチの武器
#BTN_CLOSE,HUD,,CLOSE,CHIUDI,FERMER,SCHLIEẞEN,CERRAR,ЗАКРЫТЬ,关闭,BEZÁRÁS,FECHAR,閉じる
#BTN_RETRY,HUD,,RETRY,RIPROVA,RÉESSAYER,ERNEUT VERSUCHEN,REINTENTAR,ПОВТОР,重试,ÚJRAPRÓBÁL,TENTAR DE NOVO,リトライ
#BTN_EXIT,HUD,,MAIN MENU,MENU PRINCIPALE,MENU PRINCIPAL,HAUPTMENÜ,MENÚ PRINCIPAL,ГЛАВНОЕ МЕНЮ,主菜单,FŐMENÜ,MENU PRINCIPAL,メインメニュー
#BTN_RESPAWN,HUD,,RESPAWN,RIENTRA,RÉAPPARAÎTRE,ERNEUT STARTEN,REAPARECER,ВОСКРЕШЕНИЕ,重生,FELTÁMADÁS,RENASCER,リスポーン
#TITLE_INVENTORY,Inventory,,INVENTORY,INVENTARIO,INVENTAIRE,INVENTAR,INVENTARIO,ВЕЩИ,物品栏,LELTÁR,INVENTÁRIO,INVENTORY
#SLOT_EMPTY,Inventory,,EMPTY,VUOTO,VIDE,LEER,VACÍO,ПУСТО,空,ÜRES,VAZIO,空の
#SLOT_WEAPON,Inventory,,WEAPON,ARMA,ARME,WAFFE,ARMA,ОРУЖИЕ,武器,FEGYVER,ARMA,武器
#TITLE_INGAMEPAUSE,HUD,,PAUSE,PAUSA,PAUSE,PAUSE,PAUSA,ПАУЗА,暂停,SZÜNET,PAUSA,PAUSE
#MENU_NEWGAME,Menu,,NEW GAME,NUOVA PARTITA,NOUVELLE PARTIE,NEUES SPIEL,NUEVA PARTIDA,НОВАЯ ИГРА,新游戏,ÚJ JÁTÉK,NOVO JOGO,新しいゲーム
#BTN_HELP,HUD,,LEGEND,LEGENDA,LÉGENDE,LEGENDE,LEYENDA,ПОМОЩЬ,图例,MAGYARÁZAT,LEGENDA,伝説
